Year/Ports,Petroleum Oil Lubricant(POL) & POL PRODUCTS,FERTILSER & FERTILISER PRODUCTS,IRON ORE,COAL,FOOD- GRAINS,CONTAINERS HANDLED,OTHERS,TOTAL CARGO HANDLED
1950-51,1900,122,NA,163,1823,NA,3428,7436
1951-52,2003,83,NA,126,2191,NA,3094,7497
1952-53,1803,71,NA,132,1176,NA,3296,6478
1953-54,1969,52,NA,222,880,NA,3818,6941
1954-55,2268,100,NA,145,1516,NA,3060,7089
1955-56,4654,103,NA,85,1793,NA,3045,9680
1956-57,6694,111,NA,65,856,NA,4713,12439
1957-58,6459,188,NA,78,2026,NA,4714,13465
1958-59,5721,287,NA,29,1566,NA,4394,11997
1959-60,6823,382,NA,20,1754,NA,4574,13553
1960-61,7311,275,NA,20,2113,NA,4630,14349
1961-62,7794,302,NA,161,1221,NA,4433,13911
1962-63,8262,361,NA,212,1826,NA,5305,15966
1963-64,10201,414,NA,115,1622,NA,5002,17354
1964-65,11119,417,NA,NA,2340,NA,5003,18879
1965-66,9937,520,NA,NA,1568,NA,5885,17910
1966-67,9919,579,NA,NA,2103,NA,4406,17007
1967-68,8709,1484,NA,NA,2475,NA,4255,16923
1968-69,9731,1641,NA,NA,3265,NA,4385,19022
1969-70,8668,1105,NA,NA,1407,NA,4792,15972
1970-71,8445,508,NA,NA,948,NA,4469,14370
1971-72,9769,1035,NA,NA,515,NA,4819,16138
1972-73,9662,1120,NA,NA,478,NA,4665,15925
1973-74,11127,1094,NA,NA,1569,NA,4418,18208
1974-75,10281,1080,NA,NA,2025,NA,4469,17855
1975-76,8716,434,NA,NA,2230,NA,5270,16650
1976-77,8817,361,NA,NA,1469,NA,6676,17323
1977-78,8961,819,NA,NA,237,NA,6030,16047
1978-79,8599,1126,NA,NA,285,NA,6485,16495
1979-80,7324,1425,NA,NA,272,NA,6957,15978
1980-81,8998,1276,NA,NA,87,NA,6617,16978
1981-82,9449,1178,NA,NA,226,NA,8543,19396
1982-83,17101,936,NA,NA,362,1472,3338,23209
1983-84,16650,936,NA,NA,376,1404,4523,23889
1984-85,16929,1041,NA,NA,117,1985,6864,26936
1985-86,15470,1052,NA,NA,608,2569,4611,24310
1986-87,16313,1221,NA,NA,497,3185,3858,25074
1987-88,19384,1166,NA,NA,572,3744,4702,29568
1988-89,19063,1428,NA,NA,860,3600,4391,29342
1989-90,18210,1223,NA,NA,432,3870,4011,27746
1990-91,19670,667,NA,NA,625,3888,4049,28899
1991-92,19512,494,NA,NA,340,2552,3363,26261
1992-93,20303,967,NA,NA,544,2496,4636,28946
1993-94,20820,902,NA,NA,763,5099,2922,30506
1994-95,18833,962,NA,NA,616,5890,4372,30673
1995-96,21138,840,NA,NA,1209,6748,3981,33916
1996-97,19908,707,NA,NA,114,7785,5213,33727
1997-98,17682,902,NA,NA,24,6068,7421,32097
1998-99,16671,902,NA,NA,30,7098,6269,30970
1999-00,16785,889,NA,NA,141,6130,6467,30412
2000-01,15641,700,NA,NA,186,4364,6172,27063
2001-02,15710,660,NA,NA,123,3684,6256,26433
2002-03,16039,464,NA,NA,979,3143,6987,26796
2003-04,18576,519,NA,NA,676,2816,7955,29995
2004-05,19395,574,NA,NA,601,2571,12422,35187
2005-06,27781,594,NA,0,574,2145,11727,44190
2006-07,32175,473,NA,2532,494,1580,14970,52364
2007-08,37076,313,NA,2952,555,1631,14511,57038
2008-09,34269,311,NA,3266,448,1291,12291,51876
2009-10,34494,442,NA,3745,592,607,14661,54541
2010-11,33168,494,NA,3869,703,652,15700,54586
2011-12,33315,404,NA,4321,903,551,16692,56186
2012-13,34751,511,NA,4018,864,830,17064,58038
2013-14,35980,302,NA,4221,703,449,17529,59184
2014-15 ,35837,448,0,4304,683,544,19844,61660
2015-16 ,35669,439,0,3451,961,574,20025,61119
2016-17 ,35761,283,0,4204,430,639,21812,63129
2017-18 ,36745,288,0,2418,0,630,22821,62902
2018-19 ,36435,430,7266,6405,0,375,9723,60634
2019-20,37212,414,7028,6260,0,291,9492,60696
2020-21,33226,325,37,7175,4513,0,8047,53324
